date,id,location,quality,remark,source,lat,long
2021-06-17,999286,Richterswil / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.712589656,47.20647641
2019-07-24,999286,Richterswil / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.712589656,47.20647641
2019-08-20,999286,Richterswil / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.712589656,47.20647641
2019-08-20,999286,Richterswil / Seebad,Gut,,Kantonales Labor Zürich,8.712589656,47.20647641
2020-05-27,999286,Richterswil / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.712589656,47.20647641
2020-06-23,999286,Richterswil / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.712589656,47.20647641
2020-07-20,999286,Richterswil / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.712589656,47.20647641
2020-08-17,999286,Richterswil / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.712589656,47.20647641
2021-05-31,999286,Richterswil / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.712589656,47.20647641
2021-06-17,999286,Richterswil / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.712589656,47.20647641
2021-07-15,999286,Richterswil / Seebad,Ausgezeichnet,,Kantonales Labor Zürich,8.712589656,47.20647641
2021-05-31,999287,Hombrechtikon / Strandbad Feldbach,Ausgezeichnet,,Kantonales Labor Zürich,8.789153555,47.23520047
2021-06-17,999287,Hombrechtikon / Strandbad Feldbach,Ausgezeichnet,,Kantonales Labor Zürich,8.789153555,47.23520047
2019-08-20,999287,Hombrechtikon / Strandbad Feldbach,Gut,,Kantonales Labor Zürich,8.789153555,47.23520047
2020-05-27,999287,Hombrechtikon / Strandbad Feldbach,Ausgezeichnet,,Kantonales Labor Zürich,8.789153555,47.23520047
2020-06-23,999287,Hombrechtikon / Strandbad Feldbach,Ausgezeichnet,,Kantonales Labor Zürich,8.789153555,47.23520047
2020-08-17,999287,Hombrechtikon / Strandbad Feldbach,Ausgezeichnet,,Kantonales Labor Zürich,8.789153555,47.23520047
2021-05-31,999287,Hombrechtikon / Strandbad Feldbach,Ausgezeichnet,,Kantonales Labor Zürich,8.789153555,47.23520047
2021-06-17,999287,Hombrechtikon / Strandbad Feldbach,Ausgezeichnet,,Kantonales Labor Zürich,8.789153555,47.23520047
2021-05-31,999289,Stäfa / Badeplatz Kehlhof,Ausgezeichnet,,Kantonales Labor Zürich,8.734580299,47.23309264
2019-07-24,999289,Stäfa / Badeplatz Kehlhof,Ausgezeichnet,,Kantonales Labor Zürich,8.734580299,47.23309264
2020-05-27,999289,Stäfa / Badeplatz Kehlhof,Ausgezeichnet,,Kantonales Labor Zürich,8.734580299,47.23309264
2020-07-20,999289,Stäfa / Badeplatz Kehlhof,Ausgezeichnet,,Kantonales Labor Zürich,8.734580299,47.23309264
2021-05-31,999289,Stäfa / Badeplatz Kehlhof,Ausgezeichnet,,Kantonales Labor Zürich,8.734580299,47.23309264
2021-07-15,999289,Stäfa / Badeplatz Kehlhof,Ausgezeichnet,,Kantonales Labor Zürich,8.734580299,47.23309264
2021-05-31,999290,Stäfa / Seebad Lattenberg,Ausgezeichnet,,Kantonales Labor Zürich,8.710700612,47.24137408
2021-06-17,999290,Stäfa / Seebad Lattenberg,Ausgezeichnet,,Kantonales Labor Zürich,8.710700612,47.24137408
2019-07-24,999290,Stäfa / Seebad Lattenberg,Ausgezeichnet,,Kantonales Labor Zürich,8.710700612,47.24137408
